ffy,stfips,st,age_at_start,age_at_lf,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,40,OK,0,0,2328,8218,0.283280604,1449,758,0.523119393
2010,40,OK,1,1,689,3532,0.195073613,828,514,0.620772947
2010,40,OK,2,2,698,2418,0.288668321,360,171,0.475
2010,40,OK,3,3,666,1675,0.39761194,206,58,0.281553398
2010,40,OK,4,4,275,593,0.463743676,55,15,0.272727273
2010,41,OR,0,0,1196,7490,0.159679573,772,382,0.494818653
2010,41,OR,1,1,425,2804,0.151569187,474,264,0.556962025
2010,41,OR,2,2,397,1991,0.199397288,209,83,0.397129187
2010,41,OR,3,3,295,1864,0.158261803,85,32,0.376470588
2010,41,OR,4,4,79,831,0.095066185,4,3,0.75
2010,42,PA,0,0,2049,13494,0.151845265,3295,1723,0.522913505
2010,42,PA,1,1,788,4632,0.170120898,1817,1057,0.581728123
2010,42,PA,2,2,630,3047,0.206760748,990,465,0.46969697
2010,42,PA,3,3,479,3242,0.147748304,428,178,0.41588785
2010,42,PA,4,4,152,2573,0.05907501,60,23,0.383333333
2010,44,RI,0,0,172,1610,0.106832298,193,161,0.834196891
2010,44,RI,1,1,17,493,0.034482759,105,103,0.980952381
2010,44,RI,2,2,40,312,0.128205128,50,34,0.68
2010,44,RI,3,3,76,423,0.179669031,28,19,0.678571429
2010,44,RI,4,4,39,382,0.102094241,10,5,0.5
2010,45,SC,0,0,866,4414,0.196193928,571,338,0.591943958
2010,45,SC,1,1,239,1561,0.153106983,294,223,0.758503401
2010,45,SC,2,2,261,1081,0.241443108,160,83,0.51875
2010,45,SC,3,3,259,1143,0.226596675,108,29,0.268518519
2010,45,SC,4,4,107,629,0.170111288,9,3,0.333333333
2010,46,SD,0,0,305,1312,0.232469512,216,79,0.365740741
2010,46,SD,1,1,90,504,0.178571429,100,48,0.48
2010,46,SD,2,2,82,360,0.227777778,64,21,0.328125
2010,46,SD,3,3,91,313,0.290734824,44,10,0.227272727
2010,46,SD,4,4,42,135,0.311111111,8,0,0
2010,47,TN,0,0,666,5154,0.129220023,907,702,0.773980154
2010,47,TN,1,1,142,1621,0.087600247,406,361,0.889162562
